,id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice
0,109.0,533352170.0,60.0,rl,70.0,13517.0,pave,none,ir1,lvl,allpub,culdsac,gtl,sawyer,rrae,norm,1fam,2story,6.0,8.0,1976.0,2005.0,gable,compshg,hdboard,plywood,brkface,289.0,gd,ta,cblock,ta,ta,no,glq,533.0,unf,0.0,192.0,725.0,gasa,ex,y,sbrkr,725.0,754.0,0.0,1479.0,0.0,0.0,2.0,1.0,3.0,1.0,gd,6.0,typ,0.0,none,attchd,1976.0,rfn,2.0,475.0,ta,ta,y,0.0,44.0,0.0,0.0,0.0,0.0,none,none,none,0.0,3.0,2010.0,wd ,130500.0
1,544.0,531379050.0,60.0,rl,43.0,11492.0,pave,none,ir1,lvl,allpub,culdsac,gtl,sawyerw,norm,norm,1fam,2story,7.0,5.0,1996.0,1997.0,gable,compshg,vinylsd,vinylsd,brkface,132.0,gd,ta,pconc,gd,ta,no,glq,637.0,unf,0.0,276.0,913.0,gasa,ex,y,sbrkr,913.0,1209.0,0.0,2122.0,1.0,0.0,2.0,1.0,4.0,1.0,gd,8.0,typ,1.0,ta,attchd,1997.0,rfn,2.0,559.0,ta,ta,y,0.0,74.0,0.0,0.0,0.0,0.0,none,none,none,0.0,4.0,2009.0,wd ,220000.0
2,153.0,535304180.0,20.0,rl,68.0,7922.0,pave,none,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5.0,7.0,1953.0,2007.0,gable,compshg,vinylsd,vinylsd,none,0.0,ta,gd,cblock,ta,ta,no,glq,731.0,unf,0.0,326.0,1057.0,gasa,ta,y,sbrkr,1057.0,0.0,0.0,1057.0,1.0,0.0,1.0,0.0,3.0,1.0,gd,5.0,typ,0.0,none,detchd,1953.0,unf,1.0,246.0,ta,ta,y,0.0,52.0,0.0,0.0,0.0,0.0,none,none,none,0.0,1.0,2010.0,wd ,109000.0
3,318.0,916386060.0,60.0,rl,73.0,9802.0,pave,none,reg,lvl,allpub,inside,gtl,timber,norm,norm,1fam,2story,5.0,5.0,2006.0,2007.0,gable,compshg,vinylsd,vinylsd,none,0.0,ta,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,384.0,384.0,gasa,gd,y,sbrkr,744.0,700.0,0.0,1444.0,0.0,0.0,2.0,1.0,3.0,1.0,ta,7.0,typ,0.0,none,builtin,2007.0,fin,2.0,400.0,ta,ta,y,100.0,0.0,0.0,0.0,0.0,0.0,none,none,none,0.0,4.0,2010.0,wd ,174000.0
4,255.0,906425045.0,50.0,rl,82.0,14235.0,pave,none,ir1,lvl,allpub,inside,gtl,sawyerw,norm,norm,1fam,1.5fin,6.0,8.0,1900.0,1993.0,gable,compshg,wd sdng,plywood,none,0.0,ta,ta,pconc,fa,gd,no,unf,0.0,unf,0.0,676.0,676.0,gasa,ta,y,sbrkr,831.0,614.0,0.0,1445.0,0.0,0.0,2.0,0.0,3.0,1.0,ta,6.0,typ,0.0,none,detchd,1957.0,unf,2.0,484.0,ta,ta,n,0.0,59.0,0.0,0.0,0.0,0.0,none,none,none,0.0,3.0,2010.0,wd ,138500.0
5,138.0,535126040.0,20.0,rl,137.0,16492.0,pave,none,ir1,lvl,allpub,corner,gtl,names,posa,norm,1fam,1story,6.0,6.0,1966.0,2002.0,gable,compshg,brkface,plywood,none,0.0,gd,ta,cblock,ta,ta,no,alq,247.0,rec,713.0,557.0,1517.0,gasa,ex,y,sbrkr,1888.0,0.0,0.0,1888.0,0.0,0.0,2.0,1.0,2.0,1.0,gd,6.0,mod,1.0,gd,attchd,1966.0,fin,2.0,578.0,ta,ta,y,0.0,0.0,0.0,0.0,0.0,0.0,none,none,none,0.0,6.0,2010.0,wd ,190000.0
6,2827.0,908186070.0,180.0,rm,35.0,3675.0,pave,none,reg,lvl,allpub,inside,gtl,edwards,norm,norm,twnhse,sfoyer,6.0,5.0,2005.0,2006.0,gable,compshg,vinylsd,vinylsd,brkface,82.0,ta,ta,pconc,gd,ta,gd,glq,547.0,unf,0.0,0.0,547.0,gasa,gd,y,sbrkr,1072.0,0.0,0.0,1072.0,1.0,0.0,2.0,0.0,2.0,1.0,ta,5.0,typ,0.0,none,basment,2005.0,fin,2.0,525.0,ta,ta,y,0.0,44.0,0.0,0.0,0.0,0.0,none,none,none,0.0,6.0,2006.0,new,140000.0
7,145.0,535154050.0,20.0,rl,72.0,12160.0,pave,none,ir1,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5.0,5.0,1959.0,1959.0,hip,compshg,plywood,plywood,brkface,180.0,ta,ta,cblock,ta,ta,no,rec,1000.0,unf,0.0,188.0,1188.0,gasa,fa,y,sbrkr,1188.0,0.0,0.0,1188.0,1.0,0.0,1.0,0.0,3.0,1.0,ta,6.0,typ,0.0,none,attchd,1959.0,rfn,2.0,531.0,ta,ta,y,0.0,0.0,0.0,0.0,0.0,0.0,none,mnprv,none,0.0,5.0,2010.0,cod,142000.0
8,1942.0,535353130.0,20.0,rl,60.0,15783.0,pave,none,reg,lvl,allpub,inside,gtl,oldtown,artery,norm,1fam,1story,5.0,5.0,1952.0,1952.0,gable,compshg,wd sdng,wd sdng,none,0.0,ta,ta,cblock,ta,ta,no,rec,292.0,unf,0.0,632.0,924.0,gasa,ta,y,sbrkr,924.0,0.0,0.0,924.0,0.0,0.0,1.0,0.0,2.0,1.0,ta,6.0,typ,0.0,none,detchd,1952.0,unf,1.0,420.0,ta,ta,y,0.0,324.0,0.0,0.0,0.0,0.0,none,mnprv,shed,400.0,6.0,2007.0,wd ,112500.0
9,1956.0,535426130.0,60.0,rl,70.0,11606.0,pave,none,ir1,hls,allpub,inside,sev,names,norm,norm,1fam,2story,5.0,5.0,1969.0,1969.0,gable,compshg,plywood,plywood,brkface,192.0,ta,ta,pconc,gd,ta,av,rec,650.0,unf,0.0,390.0,1040.0,gasa,ta,y,sbrkr,1040.0,1040.0,0.0,2080.0,0.0,1.0,1.0,2.0,5.0,1.0,fa,9.0,typ,2.0,ta,attchd,1969.0,unf,2.0,504.0,ta,ta,y,335.0,0.0,0.0,0.0,0.0,0.0,none,none,none,0.0,9.0,2007.0,wd ,135000.0
10,1044.0,527451290.0,160.0,rm,21.0,1680.0,pave,none,reg,lvl,allpub,inside,gtl,brdale,norm,norm,twnhs,2story,6.0,5.0,1971.0,1971.0,gable,compshg,hdboard,hdboard,brkface,232.0,ta,ta,cblock,ta,ta,no,alq,387.0,unf,0.0,96.0,483.0,gasa,ta,y,sbrkr,483.0,504.0,0.0,987.0,0.0,0.0,1.0,1.0,2.0,1.0,ta,4.0,typ,0.0,none,detchd,1971.0,unf,1.0,264.0,ta,ta,y,0.0,0.0,0.0,0.0,0.0,0.0,none,none,none,0.0,7.0,2008.0,cod,85400.0
11,2752.0,906380150.0,20.0,rl,64.0,7488.0,pave,none,ir1,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,1story,7.0,5.0,2005.0,2005.0,gable,compshg,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,av,glq,393.0,unf,0.0,815.0,1208.0,gasa,ex,y,sbrkr,1208.0,0.0,0.0,1208.0,0.0,0.0,2.0,0.0,2.0,1.0,gd,6.0,typ,0.0,none,attchd,2005.0,rfn,2.0,632.0,ta,ta,y,105.0,58.0,0.0,0.0,0.0,0.0,none,none,none,0.0,2.0,2006.0,wd ,183600.0
12,807.0,906226060.0,70.0,rl,120.0,26400.0,pave,none,reg,bnk,allpub,fr2,gtl,sawyerw,feedr,norm,1fam,2story,5.0,7.0,1880.0,2007.0,gable,compshg,hdboard,hdboard,none,0.0,gd,ta,pconc,none,none,none,none,0.0,none,0.0,0.0,0.0,gasa,ex,y,sbrkr,1288.0,728.0,0.0,2016.0,0.0,0.0,1.0,0.0,4.0,1.0,ta,7.0,mod,1.0,ta,attchd,1900.0,unf,2.0,576.0,ta,ta,p,0.0,0.0,0.0,0.0,0.0,0.0,none,none,none,0.0,6.0,2009.0,wd ,131000.0
13,1177.0,533236070.0,160.0,fv,24.0,2645.0,pave,pave,reg,lvl,allpub,inside,gtl,somerst,norm,norm,twnhs,2story,8.0,5.0,1999.0,2000.0,gable,compshg,metalsd,metalsd,brkface,456.0,gd,ta,pconc,gd,ta,no,glq,813.0,unf,0.0,147.0,960.0,gasa,ex,y,sbrkr,962.0,645.0,0.0,1607.0,1.0,0.0,2.0,1.0,3.0,1.0,gd,7.0,typ,0.0,none,detchd,2000.0,unf,2.0,480.0,ta,ta,y,169.0,0.0,0.0,0.0,0.0,0.0,none,none,none,0.0,12.0,2008.0,conld,200000.0
