,id,ms_zoning,lot_frontage,lot_area,lot_shape,land_contour,lot_config,land_slope,neighborhood,condition_1,bldg_type,house_style,overall_qual,year_built,roof_style,mas_vnr_type,mas_vnr_area,exter_qual,foundation,bsmt_qual,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_area,garage_cond,wood_deck_sf,saleprice,exterior,porch,remodelled,pool
0,109.0,rl,70.0,13517.0,1,lvl,culdsac,gtl,sawyer,rrae,1fam,2story,6.0,1976.0,gable,brkface,289.0,4,cblock,3,1,glq,533.0,unf,192.0,725.0,5,725.0,754.0,1479.0,0.0,2.0,1.0,4,6.0,typ,0.0,0,attchd,rfn,475.0,ta,0.0,130500.0,wood,1,1.0,0
1,544.0,rl,43.0,11492.0,1,lvl,culdsac,gtl,sawyerw,norm,1fam,2story,7.0,1996.0,gable,brkface,132.0,4,pconc,4,1,glq,637.0,unf,276.0,913.0,5,913.0,1209.0,2122.0,1.0,2.0,1.0,4,8.0,typ,1.0,3,attchd,rfn,559.0,ta,0.0,220000.0,vinyl,1,1.0,0
2,153.0,rl,68.0,7922.0,0,lvl,inside,gtl,names,norm,1fam,1story,5.0,1953.0,gable,none,0.0,3,cblock,3,1,glq,731.0,unf,326.0,1057.0,3,1057.0,0.0,1057.0,1.0,1.0,0.0,4,5.0,typ,0.0,0,detchd,unf,246.0,ta,0.0,109000.0,vinyl,1,1.0,0
3,318.0,rl,73.0,9802.0,0,lvl,inside,gtl,timber,norm,1fam,2story,5.0,2006.0,gable,none,0.0,3,pconc,4,1,unf,0.0,unf,384.0,384.0,4,744.0,700.0,1444.0,0.0,2.0,1.0,3,7.0,typ,0.0,0,builtin,fin,400.0,ta,100.0,174000.0,vinyl,0,1.0,0
4,255.0,rl,82.0,14235.0,1,lvl,inside,gtl,sawyerw,norm,1fam,1.5fin,6.0,1900.0,gable,none,0.0,3,pconc,2,1,unf,0.0,unf,676.0,676.0,3,831.0,614.0,1445.0,0.0,2.0,0.0,3,6.0,typ,0.0,0,detchd,unf,484.0,ta,0.0,138500.0,wood,1,1.0,0
5,138.0,rl,137.0,16492.0,1,lvl,corner,gtl,names,posa,1fam,1story,6.0,1966.0,gable,none,0.0,4,cblock,3,1,alq,247.0,rec,557.0,1517.0,5,1888.0,0.0,1888.0,0.0,2.0,1.0,4,6.0,mod,1.0,4,attchd,fin,578.0,ta,0.0,190000.0,brick,0,1.0,0
6,2827.0,rm,35.0,3675.0,0,lvl,inside,gtl,edwards,norm,twnhse,sfoyer,6.0,2005.0,gable,brkface,82.0,3,pconc,4,4,glq,547.0,unf,0.0,547.0,4,1072.0,0.0,1072.0,1.0,2.0,0.0,3,5.0,typ,0.0,0,basment,fin,525.0,ta,0.0,140000.0,vinyl,1,1.0,0
7,145.0,rl,72.0,12160.0,1,lvl,inside,gtl,names,norm,1fam,1story,5.0,1959.0,hip,brkface,180.0,3,cblock,3,1,rec,1000.0,unf,188.0,1188.0,2,1188.0,0.0,1188.0,1.0,1.0,0.0,3,6.0,typ,0.0,0,attchd,rfn,531.0,ta,0.0,142000.0,wood,0,0.0,0
8,1942.0,rl,60.0,15783.0,0,lvl,inside,gtl,oldtown,artery,1fam,1story,5.0,1952.0,gable,none,0.0,3,cblock,3,1,rec,292.0,unf,632.0,924.0,3,924.0,0.0,924.0,0.0,1.0,0.0,3,6.0,typ,0.0,0,detchd,unf,420.0,ta,0.0,112500.0,wood,1,0.0,0
9,1956.0,rl,70.0,11606.0,1,hls,inside,sev,names,norm,1fam,2story,5.0,1969.0,gable,brkface,192.0,3,pconc,4,3,rec,650.0,unf,390.0,1040.0,3,1040.0,1040.0,2080.0,0.0,1.0,2.0,2,9.0,typ,2.0,3,attchd,unf,504.0,ta,335.0,135000.0,wood,0,0.0,0
10,1044.0,rm,21.0,1680.0,0,lvl,inside,gtl,brdale,norm,twnhs,2story,6.0,1971.0,gable,brkface,232.0,3,cblock,3,1,alq,387.0,unf,96.0,483.0,3,483.0,504.0,987.0,0.0,1.0,1.0,3,4.0,typ,0.0,0,detchd,unf,264.0,ta,0.0,85400.0,wood,0,0.0,0
11,2752.0,rl,64.0,7488.0,1,lvl,inside,gtl,collgcr,norm,1fam,1story,7.0,2005.0,gable,none,0.0,4,pconc,4,3,glq,393.0,unf,815.0,1208.0,5,1208.0,0.0,1208.0,0.0,2.0,0.0,4,6.0,typ,0.0,0,attchd,rfn,632.0,ta,105.0,183600.0,vinyl,1,0.0,0
12,807.0,rl,120.0,26400.0,0,bnk,fr2,gtl,sawyerw,feedr,1fam,2story,5.0,1880.0,gable,none,0.0,4,pconc,0,0,none,0.0,none,0.0,0.0,5,1288.0,728.0,2016.0,0.0,1.0,0.0,3,7.0,mod,1.0,3,attchd,unf,576.0,ta,0.0,131000.0,wood,0,1.0,0
13,1177.0,fv,24.0,2645.0,0,lvl,inside,gtl,somerst,norm,twnhs,2story,8.0,1999.0,gable,brkface,456.0,4,pconc,4,1,glq,813.0,unf,147.0,960.0,5,962.0,645.0,1607.0,1.0,2.0,1.0,4,7.0,typ,0.0,0,detchd,unf,480.0,ta,169.0,200000.0,metal,0,1.0,0
14,1480.0,rl,74.0,9627.0,0,lvl,inside,gtl,collgcr,norm,1fam,1story,7.0,2007.0,gable,none,0.0,4,pconc,4,3,glq,24.0,unf,1327.0,1351.0,5,1361.0,0.0,1361.0,0.0,2.0,0.0,4,6.0,typ,0.0,0,attchd,rfn,610.0,ta,0.0,193000.0,vinyl,1,0.0,0
15,324.0,rl,93.0,10114.0,0,lvl,inside,gtl,mitchel,norm,1fam,1story,5.0,2004.0,gable,none,0.0,3,pconc,5,3,unf,0.0,unf,1430.0,1430.0,5,1430.0,0.0,1430.0,0.0,2.0,0.0,4,7.0,typ,0.0,0,attchd,rfn,624.0,ta,0.0,173500.0,vinyl,0,1.0,0
16,1311.0,rm,34.0,4571.0,0,lvl,inside,gtl,oldtown,norm,1fam,2story,5.0,1916.0,gable,none,0.0,3,brktil,3,1,unf,0.0,unf,624.0,624.0,2,624.0,720.0,1344.0,0.0,1.0,0.0,3,7.0,typ,0.0,0,detchd,unf,513.0,fa,0.0,98000.0,aesbestos,0,1.0,0
17,770.0,rl,80.0,8816.0,0,lvl,corner,gtl,sawyer,feedr,1fam,1story,5.0,1963.0,gable,none,0.0,3,pconc,3,1,rec,651.0,unf,470.0,1121.0,3,1121.0,0.0,1121.0,1.0,1.0,0.0,3,5.0,typ,0.0,0,detchd,unf,480.0,ta,0.0,139000.0,vinyl,1,0.0,0
18,2063.0,rl,71.0,8197.0,0,lvl,inside,gtl,sawyer,norm,1fam,1story,6.0,1977.0,gable,brkface,148.0,3,cblock,3,1,unf,0.0,unf,660.0,660.0,5,1285.0,0.0,1285.0,0.0,1.0,1.0,3,7.0,typ,1.0,3,attchd,rfn,528.0,ta,138.0,143500.0,wood,0,0.0,0
19,69.0,fv,72.0,8640.0,0,lvl,inside,gtl,somerst,norm,1fam,2story,7.0,2009.0,gable,none,0.0,3,pconc,4,2,glq,24.0,unf,732.0,756.0,5,764.0,783.0,1547.0,0.0,2.0,1.0,4,7.0,typ,0.0,0,attchd,unf,614.0,ta,169.0,215200.0,vinyl,1,0.0,0
20,2062.0,rl,109.0,8724.0,0,lvl,inside,gtl,sawyer,norm,1fam,1story,5.0,1968.0,gable,none,0.0,3,cblock,4,1,blq,492.0,unf,402.0,894.0,4,894.0,0.0,894.0,0.0,1.0,0.0,3,5.0,typ,1.0,1,attchd,fin,450.0,ta,0.0,129000.0,vinyl,0,0.0,0
21,351.0,rl,40.0,5664.0,1,lvl,inside,gtl,stonebr,norm,twnhse,1story,8.0,2000.0,gable,none,0.0,4,pconc,4,1,glq,1158.0,unf,343.0,1501.0,5,1659.0,0.0,1659.0,1.0,2.0,0.0,5,5.0,typ,1.0,5,attchd,fin,499.0,ta,212.0,278000.0,aggregate,1,0.0,0
22,2393.0,rl,103.0,12867.0,1,lvl,corner,gtl,nridght,norm,1fam,2story,8.0,2005.0,gable,none,0.0,4,pconc,5,3,unf,0.0,unf,1209.0,1209.0,5,1209.0,1044.0,2253.0,0.0,2.0,1.0,5,8.0,typ,1.0,4,attchd,fin,575.0,ta,243.0,344133.0,aggregate,1,1.0,0
23,12.0,rl,63.0,7980.0,1,lvl,inside,gtl,gilbert,norm,1fam,1story,6.0,1992.0,gable,none,0.0,3,pconc,4,1,alq,935.0,unf,233.0,1168.0,5,1187.0,0.0,1187.0,1.0,2.0,0.0,3,6.0,typ,0.0,0,attchd,fin,420.0,ta,483.0,185000.0,wood,1,1.0,0
